Event Name,Event ID,Event URL,Start Date,End Date,Start Time,End Time,Timezone,Image URL,Ticket Price,Tickets URL,Venue Name,Venue Address,Organizer Name,Organizer URL,Summary,Tags,Source,Month
IFINEXPO Dubai--International Finance Expo 2027,299085471697,https://www.eventbrite.hk/e/ifinexpo-dubai-international-finance-expo-2027-tickets-299085471697,2027-03-26,2027-03-27,08:30,17:30,Asia/Dubai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F494968159%2F700916941403%2F1%2Foriginal.20230418-040650?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C97%2C4000%2C2000&s=7f359df1fa7da9b0f3e0340e576795c6,0.00 USD,https://www.eventbrite.com/checkout-external?eid=299085471697,Jumeirah Emirates Towers,"Sheikh Zayed Road, Dubai, إمارة دبيّ",,,"A grand professional  event encompassing the crypto industry chain(forex, fintech, blockchain, crypto, DeFi, NFT, mining, payment...)","['Finance', 'Business & Professional', 'Conference', 'Finance', 'Blockchain', 'Cryptocurrency', 'Bitcoin', 'Fintech', 'Defi', 'Forex', 'Crypto', 'Payment', 'Nft']",Eventbrite,2027-03
Dubai Investors  Dinner | B2B Networking | With Investors & VCs,1252651186419,https://www.eventbrite.com/e/dubai-investors-dinner-b2b-networking-with-investors-vcs-tickets-1252651186419,2025-05-08,2025-05-08,15:00,19:00,Asia/Dubai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F977732683%2F2225436848553%2F1%2Foriginal.20250307-070909?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.00491891897783&fp-y=0.00460836490297&s=04c30ecc3a21714880d866f998ed05c6,0.00 USD,https://www.eventbrite.com/checkout-external?eid=1252651186419,"The Ritz-Carlton, Dubai","Al Mamsha Street, Dubai, Dubai",,,Are you an Investor or a Founder? Are you actively Investing / Raising? Is it $2M or less? Yes? This event is for you!,"['Startups & Small Business', 'Business & Professional', 'Meeting or Networking Event', 'Networking', 'Startup', 'Funding', 'Dubai', 'Pitching', 'B2bnetworking', 'business_networking', 'pitch_to_investors', 'dubai_events', 'dubai_investors']",Eventbrite,2025-05
Algorithmic Trading and Financial Data Analysis with Python,858399364607,https://www.eventbrite.com/e/algorithmic-trading-and-financial-data-analysis-with-python-tickets-858399364607,2025-03-27,2025-03-27,16:00,17:30,Asia/Dubai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F229802679%2F198476887449%2F1%2Foriginal.20211219-114152?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C170%2C1536%2C768&s=fb383c1b88c41a0a837ef62ad9b9690a,0.00 USD,https://www.eventbrite.com/checkout-external?eid=858399364607,Innosoft Gulf FZ LLC,"Block 6, Office 102 Dubai Knowledge Park, Dubai, Dubai",,,"Explore Python in finance: algorithmic trading, crypto data, and our in-house futures bot.","['Medicine', 'Science & Technology', 'Seminar or Talk', 'Ai', 'Artificial_intelligence', 'data_analysis', 'data_visualization_course', 'ai_certification_course', 'ai_dubai', 'machine_learning_dubai', 'machine_learning_uae', 'ml_course', 'ai_certification_dubai']",Eventbrite,2025-03
SGH Womens' Health Conference 2025,1272321781699,https://www.eventbrite.co.uk/e/sgh-womens-health-conference-2025-tickets-1272321781699,2025-04-13,2025-04-13,13:00,19:00,Asia/Dubai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F977710843%2F2544420577101%2F1%2Foriginal.20250307-054630?crop=focalpoint&fit=crop&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.426093319559&fp-y=0.178015564202&s=de4138a7ee7375393963361fabfb7c65,0.00 GBP,https://www.eventbrite.com/checkout-external?eid=1272321781699,Saudi German Hospital | SGH Dubai,"36 Sheikh Zayed Road, Dubai, Dubai",,,"Join us at the SGH Women's Health Conference 2025 for a day of empowering talks, workshops, and networking opportunities!","['Medical', 'Health & Wellness', 'Conference', 'Event', 'Conference', 'Womenshealth', '2025', 'Sgh']",Eventbrite,2025-04
Future World Expo DubAI: Shaping our Future,1051277067007,https://www.eventbrite.com/e/future-world-expo-dubai-shaping-our-future-tickets-1051277067007,2025-05-05,2025-05-05,10:00,17:00,Asia/Dubai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F957713213%2F2412375150363%2F1%2Foriginal.20250211-044813?crop=focalpoint&fit=crop&w=512&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.499905684105&fp-y=0.852525252525&s=dbc85591e3753332f3df7ecf174f8739,0.00 USD,https://www.eventbrite.com/checkout-external?eid=1051277067007,Dubai,"Dubai, Dubai, Dubai",,,"Explore cutting-edge tech & innovations shaping our future at Future World Expo DubAI. AI, PropTech, FinTech, Smart Real Estate, Smart City.","['Finance', 'Business & Professional', 'Tradeshow, Consumer Show, or Expo', 'Innovation', 'Event', 'Ai', 'Cyber', 'Dubai', 'real_estate', 'dubai_events', 'futureworldexpo']",Eventbrite,2025-05
Yoga Lates Under the Gate - March 26th,1264748409539,https://www.eventbrite.com/e/yoga-lates-under-the-gate-march-26th-tickets-1264748409539,2025-03-26,2025-03-26,19:00,21:15,Asia/Dubai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F972458633%2F249418385151%2F1%2Foriginal.20250301-083600?crop=focalpoint&fit=crop&w=512&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=cfd6241ff3e820b80e9ce72e416d4547,0.00 USD,https://www.eventbrite.com/checkout-external?eid=1264748409539,Gate Avenue at DIFC,"Sheikh Zayed Road, Dubai, Dubai",,,Complimentary Yoga series at various locations around DIFC,"['Yoga', 'Health & Wellness', 'Class, Training, or Workshop', 'Wellness', 'Mindfulness', 'yoga_lates', 'march_26th', 'under_the_gate']",Eventbrite,2025-03
SIGA Summit on Female Leadership in Sport - Dubai Edition,1246353539989,https://www.eventbrite.co.uk/e/siga-summit-on-female-leadership-in-sport-dubai-edition-registration-1246353539989,2025-04-08,2025-04-08,10:00,16:00,Asia/Dubai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F992069913%2F230454801824%2F1%2Foriginal.20250325-122046?w=401&auto=format%2Ccompress&q=75&sharp=10&s=2c6ae14832e94be9409097c229303299,0.00 EUR,https://www.eventbrite.com/checkout-external?eid=1246353539989,Mastercard EEMEA HQ,"4 شارع الفلك, Dubai, Dubai",,,the Summit on Female Leadership in Sport will serve as a vibrant platform for renowned female leaders and supportive male allies,"['Non Profit & NGOs', 'Business & Professional', 'Conference', 'Women', 'Sports', 'Sport', 'Integrity', 'Dubai', 'Thoughtleadership', 'Siga', 'Femaleleaders', 'Female_empowerment', 'women_empowerment']",Eventbrite,2025-04
SUMitDubai25,1259321898699,https://www.eventbrite.com/e/sumitdubai25-tickets-1259321898699,2025-04-17,2025-04-17,07:30,13:00,Asia/Dubai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F968773353%2F1852210817283%2F1%2Foriginal.20250225-110705?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=09079478610708439eb926d4e00c7e79,0.00 GBP,https://www.eventbrite.com/checkout-external?eid=1259321898699,University of Birmingham Dubai,"Academic City, Dubai",,,Get ready to SUMit up in Dubai - Improving mathematics teaching through learning together.,"['Educators', 'Business & Professional', 'Conference', 'Networking', 'Technology', 'Event', 'Teaching', 'Mathematics', 'Dubai', 'Abudhabi', 'professional_development']",Eventbrite,2025-04
Join Biggest  Investors & Founders Community | Dubai | Tablon B2B,813742153687,https://www.eventbrite.co.uk/e/join-biggest-investors-founders-community-dubai-tablon-b2b-tickets-813742153687,2025-03-26,2025-03-26,11:00,12:00,Asia/Dubai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F684769049%2F382490591383%2F1%2Foriginal.20240129-123315?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2000%2C1000&s=449cbf26d1b6c135b936f9ca1e4dbbab,0.00 GBP,https://www.eventbrite.com/checkout-external?eid=813742153687,Dubai,"Dubai, Dubai, Dubai",,,Join Tablon's B2B exclusive community of Investors and Founders for FREE. Limited seats only !!!,"['Investment', 'Business & Professional', 'Meeting or Networking Event', 'Networking', 'Investment', 'Startup', 'Investors', 'Entrepreneur', 'Meeting', 'Founders', 'Venture_capital', 'angel_investing', 'tablon']",Eventbrite,2025-03
Fashion Experience - MAGNOLIA SHOWROOM,640820269677,https://www.eventbrite.es/e/fashion-experience-magnolia-showroom-registration-640820269677,2025-05-29,2025-05-31,12:00,23:00,Asia/Dubai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F926252983%2F379728688455%2F1%2Foriginal.20250102-170325?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C6912%2C3456&s=bd57f247f4e4dbb232118a763974e414,0.00 USD,https://www.eventbrite.com/checkout-external?eid=640820269677,Salvaje Dubai,": Opera District - Address Residences - Downtown Dubai - Dubai - Emiratos Árabes Unidos, دبي, دبي",,,"Luxury Fashion Pop Up Event ,  International Designers","['Fashion', 'Fashion & Beauty', 'Tradeshow, Consumer Show, or Expo', 'Fashion', 'Design', 'Moda', 'Market', 'Fashionshow', 'Fashionweek', 'Fashiondesigner', 'fashion_event', 'fashion_show', 'pop_up']",Eventbrite,2025-05
